Name,Author,User Rating,Reviews,Price,Year,Fiction,Non Fiction
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,17,2013,0,1
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,4.8,3428,14,2015,0,1
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876,21,2012,0,1
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,3601,18,2018,0,1
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,7058,17,2018,0,1
The Pout-Pout Fish,Deborah Diesen,4.8,9784,5,2017,1,0
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795,21,2012,0,1
The President Is Missing: A Novel,James Patterson,4.3,10191,18,2018,1,0
The Racketeer,John Grisham,4.3,14493,18,2012,1,0
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186,12,2010,1,0
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,14,2010,0,1
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,12,2012,1,0
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,2009,1,0
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122,0,2010,1,0
The Silent Patient,Alex Michaelides,4.5,27536,14,2019,1,0
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,10,2011,1,0
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15,2017,0,1
The Sun and Her Flowers,Rupi Kaur,4.7,5487,9,2017,0,1
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,7,2012,1,0
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,10,2011,1,0
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,6,2009,1,0
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,9,2009,0,1
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,11550,10,2019,0,1
The Twilight Saga Collection,Stephenie Meyer,4.7,3801,82,2009,1,0
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,12,2010,1,0
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,9030,10,2019,0,1
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2013,1,0
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16,2015,0,1
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2016,1,0
The Wonky Donkey,Craig Smith,4.8,30183,4,2018,1,0
The Wright Brothers,David McCullough,4.7,6169,16,2015,0,1
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7034,15,2013,0,1
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19,2011,0,1
Thirteen Reasons Why,Jay Asher,4.5,7932,9,2017,1,0
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,23,2012,0,1
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2009,0,1
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,2014,0,1
Tina Fey: Bossypants,Tina Fey,4.3,5977,12,2011,0,1
To Kill a Mockingbird,Harper Lee,4.8,26234,0,2013,1,0
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,4360,21,2017,0,1
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,21,2010,1,0
True Compass: A Memoir,Edward M. Kennedy,4.5,438,15,2009,0,1
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,9,2009,1,0
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,2586,5,2014,1,0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2010,0,1
Under the Dome: A Novel,Stephen King,4.3,6740,20,2009,1,0
Unfreedom of the Press,Mark R. Levin,4.9,5956,11,2019,0,1
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,6108,4,2019,0,1
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,4585,9,2016,0,1
Watchmen,Alan Moore,4.8,3829,42,2009,1,0
Water for Elephants: A Novel,Sara Gruen,4.5,8958,12,2011,1,0
What Happened,Hillary Rodham Clinton,4.6,5492,18,2017,0,1
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,9292,17,2014,0,1
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,1873,14,2015,1,0
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,8170,13,2019,1,0
What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,9,2011,0,1
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,2012,0,1
When Breath Becomes Air,Paul Kalanithi,4.8,13779,14,2016,0,1
Where the Crawdads Sing,Delia Owens,4.8,87841,15,2019,1,0
Where the Wild Things Are,Maurice Sendak,4.8,9967,13,2009,1,0
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,4.6,6669,12,2018,0,1
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,18,2012,0,1
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,15,2012,1,0
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,11,2010,0,1
Wonder,R. J. Palacio,4.8,21625,9,2013,1,0
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,9413,8,2019,1,0
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2016,0,1
